"","brand","che_pc_usd","che_perc_gdp","cluster_nl","corporation","country","launch_date","date","drug_id","ind_launch_date","indication","insurance_perc_che","population","prev_perc","price_month","price_unit","public_perc_che","therapeutic_area","target","Country_Group","Price_Group","indication_number","avg_price_per_year","month_number"
"1","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-02-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.0231558399625,1,2,5,1.28445651367863,2
"2","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-03-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.03032413323187,1,2,5,1.28445651367863,3
"3","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-04-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.04371340986766,1,2,5,1.28445651367863,4
"4","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-05-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.03869156912576,1,2,5,1.28445651367863,5
"5","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-06-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.04479608624367,1,2,5,1.28445651367863,6
"6","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-07-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.0561681470225,1,2,5,1.28445651367863,7
"7","BRAND_4027",1.19522471910112,1.63548259857608,"BRAND_4027_COUNTRY_3536","CORP_A278","COUNTRY_3536",2015-08-01,2015-08-01,"DRUG_ID_C242","2015-07-01 00:00:00","['IND_B5EE', 'IND_C39D', 'IND_2BA5', 'IND_0651', 'IND_79FE', 'IND_52F7']",1.50666666666667,1.31767614974163,0.0136500791594894,0.714083753289033,1.01323274236079,1.71641791044776,"THER_AREA_8E53",1.00440221986713,2,2,6,1.01091833793947,8
"8","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-08-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.04382042600391,1,2,5,1.28445651367863,8
"9","BRAND_4027",1.19522471910112,1.63548259857608,"BRAND_4027_COUNTRY_3536","CORP_A278","COUNTRY_3536",2015-08-01,2015-09-01,"DRUG_ID_C242","2015-07-01 00:00:00","['IND_B5EE', 'IND_C39D', 'IND_2BA5', 'IND_0651', 'IND_79FE', 'IND_52F7']",1.50666666666667,1.31767614974163,0.0136500791594894,0.714083753289033,1.01306455860469,1.71641791044776,"THER_AREA_8E53",1.00064643876095,2,2,6,1.01091833793947,9
"10","BRAND_F062",1.82350187265918,2.08598381332967,"BRAND_F062_COUNTRY_D8B0","CORP_443D","COUNTRY_D8B0",2015-02-01,2015-09-01,"DRUG_ID_032B","-1","['IND_5586', 'IND_656A', 'IND_1705', 'IND_C77A', 'IND_8EA5']",2.01333333333333,1.64082740883813,0.0177123358416151,1.28319136600812,1.3499072652993,1.8955223880597,"THER_AREA_8E53",1.05081504153426,1,2,5,1.28445651367863,9
