"","brand","che_pc_usd","che_perc_gdp","cluster_nl","corporation","country","launch_date","date","drug_id","ind_launch_date","indication","insurance_perc_che","population","prev_perc","price_month","price_unit","public_perc_che","therapeutic_area","target","Country_Group","Price_Group","indication_number","avg_price_per_year","month_number"
"1","BRAND_7114",1.98377028714107,1.99619071970986,"BRAND_7114_COUNTRY_4242","CORP_6095","COUNTRY_4242",2014-07-01,2014-07-01,"DRUG_ID_5417","-1","['IND_851C', 'IND_0AE9']",-0.1,1.00972515077038,0.0731178597862985,-1,1.27330292882476,2,"THER_AREA_CD59",1.20629952656981,4,2,2,1.19866082162244,7
"2","BRAND_C21A",1.24531835205993,1.16962628425526,"BRAND_C21A_COUNTRY_B6AE","CORP_7883","COUNTRY_B6AE",2014-07-01,2014-07-01,"DRUG_ID_E2D9","2017-10-01 00:00:00","['IND_6F13', 'IND_120F']",-0.1,1.03560771920705,0.0411519400985823,-1,1.00672858635981,1.82089552238806,"THER_AREA_CD59",1.00069420013918,4,2,2,1.00401746309055,7
"3","BRAND_C21A",1.24531835205993,1.16962628425526,"BRAND_C21A_COUNTRY_B6AE","CORP_7883","COUNTRY_B6AE",2014-07-01,2014-08-01,"DRUG_ID_E2D9","2017-10-01 00:00:00","['IND_6F13', 'IND_120F']",-0.1,1.03560771920705,0.0411519400985823,-1,1.00672850899839,1.82089552238806,"THER_AREA_CD59",1.00045334998051,4,2,2,1.00401746309055,8
"4","BRAND_7114",1.6690074906367,1.76428079008978,"BRAND_7114_COUNTRY_89F9","CORP_6095","COUNTRY_89F9",2014-08-01,2014-08-01,"DRUG_ID_5417","-1","['IND_851C', 'IND_0AE9']",-0.1,1.49548483391786,0.0609816473585694,-1,1.26842597733322,1.94029850746269,"THER_AREA_CD59",1.47079769725794,1,2,2,1.19866082162244,8
"5","BRAND_7114",1.98377028714107,1.99619071970986,"BRAND_7114_COUNTRY_4242","CORP_6095","COUNTRY_4242",2014-07-01,2014-08-01,"DRUG_ID_5417","-1","['IND_851C', 'IND_0AE9']",-0.1,1.00972515077038,0.0731178597862985,-1,1.27818427290867,2,"THER_AREA_CD59",1.24073496945596,4,2,2,1.19866082162244,8
"6","BRAND_EA0B",1.62187890137328,1.86329171857037,"BRAND_EA0B_COUNTRY_C51E","CORP_01C7","COUNTRY_C51E",2014-09-01,2014-09-01,"DRUG_ID_A56F","2009-07-01 00:00:00","['IND_851C']",1.09333333333333,1,0.0615373656018263,-1,1.24440711417426,1.91044776119403,"THER_AREA_CD59",1.00642640590357,4,2,1,1.05056216124771,9
"7","BRAND_C21A",1.24531835205993,1.16962628425526,"BRAND_C21A_COUNTRY_B6AE","CORP_7883","COUNTRY_B6AE",2014-07-01,2014-09-01,"DRUG_ID_E2D9","2017-10-01 00:00:00","['IND_6F13', 'IND_120F']",-0.1,1.03560771920705,0.0411519400985823,-1,1.00672754273916,1.82089552238806,"THER_AREA_CD59",1.00288969108707,4,2,2,1.00401746309055,9
"8","BRAND_7114",1.6690074906367,1.76428079008978,"BRAND_7114_COUNTRY_89F9","CORP_6095","COUNTRY_89F9",2014-08-01,2014-09-01,"DRUG_ID_5417","-1","['IND_851C', 'IND_0AE9']",-0.1,1.49548483391786,0.0609816473585694,-1,1.27470270408318,1.94029850746269,"THER_AREA_CD59",1.76377620765156,1,2,2,1.19866082162244,9
"9","BRAND_7114",1.75873907615481,1.90620447041012,"BRAND_7114_COUNTRY_6F78","CORP_6095","COUNTRY_6F78",2014-09-01,2014-09-01,"DRUG_ID_5417","-1","['IND_0AE9']",1.17333333333333,1.00818109378621,0.0045160055095947,-1,1.26675491155105,1.92537313432836,"THER_AREA_CD59",1.01656911171039,4,2,1,1.19866082162244,9
"10","BRAND_C21A",1.90714731585518,1.92081557739789,"BRAND_C21A_COUNTRY_4442","CORP_D524","COUNTRY_4442",2014-09-01,2014-09-01,"DRUG_ID_E2D9","2017-10-01 00:00:00","['IND_6F13', 'IND_120F']",1,1.15448714278031,0.0388224209718434,-1,1.00499148707527,1.76119402985075,"THER_AREA_CD59",1.00268000075805,2,2,2,1.00401746309055,9
